City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,puerto san jose,13.9256,-90.8244,299.65,84,100,3.16,GT,1730773778
349,magadan,59.5667,150.8,262.45,65,82,5.09,RU,1730773779
350,holdrege,40.4403,-99.3698,280.1,76,100,3.6,US,1730773780
351,puerto armuelles,8.2833,-82.8667,297.09,92,100,2.24,PA,1730773656
352,natal,-5.795,-35.2094,298.27,88,100,4.63,BR,1730773726
353,isangel,-19.55,169.2667,301.21,54,20,2.57,VU,1730773784
354,mar del plata,-38.0023,-57.5575,288.16,51,0,4.02,AR,1730773785
355,valparaiso,-33.0393,-71.6273,288.95,51,0,2.57,CL,1730773786
356,goondiwindi,-28.55,150.3167,310.1,19,1,7.56,AU,1730773787
357,iwon-up,40.3231,128.6553,279.35,77,100,2.21,KP,1730773789
358,progreso,21.2833,-89.6667,299.54,80,100,5.99,MX,1730773790
359,eufaula,31.8913,-85.1455,293.17,87,100,2.57,US,1730773791
